Time,Used
43562.637024,243521776
43562.637070,60606704
43562.637116,181565880
43562.637163,334279984
43562.637209,194407376
43562.637255,61206968
43562.637302,241375624
43562.637348,86987160
43562.637395,222177784
43562.637441,61404664
43562.637487,243065752
43562.637534,54960992
43562.637580,236930720
43562.637694,48597456
43562.637741,244797560
43562.637787,101394360
43562.637833,292551376
43562.637880,134328816
43562.637926,305687752
43562.637980,181732856
43562.638026,368069136
43562.638072,208607376
43562.638124,355301424
43562.638167,116046264
43562.638213,257111008
43562.638259,48909736
43562.638306,216877856
43562.638352,48692320
43562.638398,213251160
43562.638444,377756816
43562.638491,152160960
43562.638537,324066120
43562.638700,272060688
43562.638822,56461104
43562.638869,233077520
43562.639031,170724424
43562.639193,78400776
43562.639355,361760432
43562.639412,231206056
43562.639458,332969776
43562.639505,137910776
43562.639551,292024600
43562.639597,115919712
43562.639759,368819528
43562.639921,267666360
43562.640083,156147744
43562.640245,57819696
43562.640293,203870664
43562.640352,204052376
43562.640399,204271128
43562.640445,212106608
43562.640491,212272696
43562.640538,212466056
43562.640584,212652648
43562.640630,212868152
43562.640677,213059400
43562.640723,213278848
43562.640769,213463520
43562.640816,213659592
43562.640862,213872416
43562.640908,214042632
43562.640955,221855176
43562.641001,222057272
43562.641047,222279368
43562.641094,222460880
43562.641140,222632288
43562.641186,222814856
43562.641233,223004256
43562.641279,223227640
43562.641325,223432480
43562.641372,223577280
43562.641418,223785952
43562.641464,224008296
43562.641511,231803752
43562.641557,232026568
43562.641603,232198592
43562.641650,232403512
43562.641696,232561160
43562.641742,232775848
43562.641789,232995648
43562.641835,233140960
43562.641881,233356480
43562.641928,233561200
43562.641974,233719632
43562.642020,233935088
43562.642067,241731840
43562.642113,241937496
43562.642159,242149208
43562.642206,242304568
43562.642252,242536104
43562.642298,242745128
